depth,variable,sample_count,source_file_count,averaged_snapshot_count,start_time,end_time,averaged_time,mean_manual,mean_averaged,bias,mean_abs_error,rms_error,max_abs_error,relative_rms_error
75,S,144,1,2,600.00000000,86400.00000000,86400.00000000,2.17550460e+01,2.17550460e+01,-2.59903017e-10,5.90465628e-07,8.63588638e-07,2.22524007e-06,3.15165432e-08
75,T,144,1,2,600.00000000,86400.00000000,86400.00000000,1.02290845e+01,1.02290845e+01,1.44022173e-10,2.00084493e-07,3.40877483e-07,1.12586551e-06,2.20351279e-08
75,e,144,1,2,600.00000000,86400.00000000,86400.00000000,1.20842156e-04,1.20842156e-04,1.42869028e-15,2.63934726e-12,6.88122335e-12,2.81053442e-09,2.56993716e-08
75,u,144,1,2,600.00000000,86400.00000000,86400.00000000,-9.33619449e-03,-9.33619450e-03,1.69250289e-12,1.22098533e-09,2.46036556e-09,1.03725648e-07,2.55821164e-08
75,v,144,1,2,600.00000000,86400.00000000,86400.00000000,1.72553740e-03,1.72553740e-03,-4.53286234e-13,8.41014642e-10,1.75157205e-09,6.17486269e-08,2.53869931e-08
75,w,144,1,2,600.00000000,86400.00000000,86400.00000000,3.13775291e-10,3.13775293e-10,-2.16345181e-18,1.39091844e-14,7.80108806e-14,1.35337667e-11,2.55025681e-08
